rank, word, likelyhood 
711, BOXED, 1.4082432e-06
712, TRUST, 1.4069267999999998e-06
713, SWEET, 1.4060246200000003e-06
714, THEME, 1.4017657499999997e-06
715, TEXAS, 1.39741875e-06
716, TWINS, 1.39356e-06
717, LEVEL, 1.3752516959999999e-06
718, ROCKS, 1.3716569999999998e-06
719, LUCAS, 1.3680211999999997e-06
720, DRAWS, 1.35260874e-06
721, DEVEL, 1.3488045479999999e-06
722, CLARK, 1.3456951200000002e-06
723, EARTH, 1.3444652300000003e-06
724, SCENE, 1.3442213399999999e-06
725, SPENT, 1.342676258e-06
726, GREEK, 1.3403269880000002e-06
727, MOUTH, 1.3364471999999997e-06
728, SCORE, 1.3272058800000001e-06
729, SPORT, 1.325680356e-06
730, HONOR, 1.3250844600000004e-06
731, SINGH, 1.3249656000000002e-06
732, THANK, 1.3209906e-06
733, GREAT, 1.30401271e-06
734, GONNA, 1.29395364e-06
735, FULLY, 1.2933425400000003e-06
736, SONIC, 1.29141474e-06
737, NANCY, 1.28833152e-06
738, CONDO, 1.2813633e-06
739, WOULD, 1.2761088e-06
740, PICKS, 1.2669048e-06
741, SPRAY, 1.2658217000000002e-06
742, GUIDE, 1.2565583999999998e-06
743, TROUT, 1.2551994e-06
744, YARDS, 1.2519990000000002e-06
745, PATCH, 1.250568144e-06
746, VERSE, 1.250235675e-06
747, ARENA, 1.244417559e-06
748, HELPS, 1.244061e-06
